price;city;square;land_plot_surface;transport_exists_nearby;medical_service_exists_nearby;cluster
1295000.0;20.0;229.0;165.0;1.0;1.0;0
1875000.0;12.0;195.0;166.0;1.0;0.0;2
750000.0;32.0;92.0;0.0;1.0;0.0;2
1140000.0;11.0;159.0;212.0;0.0;0.0;1
850000.0;8.0;160.0;166.0;1.0;1.0;0
940000.0;27.0;128.0;41.0;1.0;1.0;0
1140000.0;27.0;145.0;271.0;1.0;0.0;2
1345000.0;1.0;200.0;250.0;1.0;1.0;0
990000.0;27.0;141.0;363.0;1.0;0.0;2
945000.0;30.0;161.0;187.0;1.0;0.0;2
1139000.0;27.0;130.0;116.0;1.0;0.0;2
950000.0;22.0;151.0;200.0;1.0;1.0;0
998000.0;8.0;215.0;258.0;1.0;0.0;2
880000.0;27.0;131.0;525.0;1.0;1.0;0
799000.0;2.0;185.0;40.0;1.0;0.0;2
795000.0;0.0;160.0;293.0;0.0;0.0;1
600000.0;11.0;121.0;179.0;1.0;0.0;2
1290000.0;19.0;103.0;0.0;0.0;0.0;1
960000.0;11.0;128.0;494.0;1.0;0.0;2
1095000.0;31.0;151.0;353.0;1.0;0.0;2
564000.0;8.0;118.0;0.0;1.0;0.0;2
1495000.0;26.0;190.0;354.0;1.0;1.0;0
699000.0;11.0;130.0;150.0;1.0;0.0;2
595000.0;0.0;131.0;306.0;1.0;0.0;2
1165000.0;1.0;110.0;193.0;1.0;1.0;0
790000.0;22.0;110.0;106.0;1.0;0.0;2
799000.0;27.0;145.0;190.0;1.0;0.0;2
599000.0;9.0;145.0;290.0;1.0;0.0;2
630000.0;11.0;129.0;0.0;1.0;0.0;2
485000.0;11.0;73.0;281.0;0.0;0.0;1
669000.0;7.0;141.0;387.0;1.0;0.0;2
1145000.0;24.0;175.0;528.0;1.0;1.0;0
745000.0;24.0;114.0;481.0;1.0;0.0;2
499000.0;0.0;140.0;110.0;1.0;0.0;2
470000.0;23.0;58.0;0.0;1.0;1.0;0
1200000.0;0.0;156.0;330.0;1.0;1.0;0
857000.0;27.0;144.0;0.0;0.0;0.0;1
2590000.0;26.0;195.0;0.0;0.0;0.0;1
549000.0;27.0;71.0;139.0;1.0;1.0;0
1345000.0;3.0;216.0;495.0;0.0;0.0;1
820000.0;9.0;178.0;286.0;1.0;0.0;2
1160000.0;27.0;170.0;350.0;0.0;0.0;1
399900.0;26.0;83.0;0.0;1.0;0.0;2
1090000.0;2.0;163.0;300.0;1.0;1.0;0
1390000.0;33.0;161.0;180.0;1.0;0.0;2
1650000.0;33.0;193.0;200.0;1.0;0.0;2
320000.0;16.0;38.0;55.0;1.0;0.0;2
600000.0;16.0;55.0;80.0;1.0;1.0;0
