list_id;price;city;lat;lng;type;square;land_plot_surface;rooms;bedrooms;nb_bathrooms;nb_shower_room;energy_rate;ges;nb_floors;nb_parkings;annual_charges;transport_exists_nearby;school_exists_nearby;medical_service_exists_nearby;centre_of_town_exists_nearby;nb_square_meter_basement;nb_square_meter_balcony
2949125355.0;450000.0;11.0;48.92326439610944;2.265849780071405;1.0;109.0;0.0;5.0;4.0;1.0;1.0;9.0;9.0;2.0;0.0;2067.266538636414;1.0;1.0;0.0;0.0;0.0;0.0
2942792298.0;365000.0;11.0;48.92494120848213;2.2384144636499976;1.0;97.0;55.0;4.0;3.0;1.0;1.0;7.0;5.0;2.0;2.0;1260.0;1.0;1.0;1.0;1.0;0.0;10.0
2938690509.0;650000.0;11.0;48.92234467801388;2.252923016948515;1.0;120.0;195.0;5.0;4.0;2.0;1.0;8.0;8.0;2.0;1.0;2130.0;1.0;1.0;0.0;1.0;0.0;33.0
2876950174.0;750000.0;14.0;48.84395442467904;2.192679213085865;1.0;100.0;70.0;5.0;3.0;1.0;1.0;10.0;10.0;3.0;1.0;1068.0;1.0;1.0;1.0;1.0;12.0;5.0
2870383065.0;1090000.0;9.0;48.79597375983885;2.2704735853367595;1.0;141.0;550.0;7.0;5.0;1.0;2.0;7.0;7.0;3.0;2.0;1580.0;0.0;0.0;0.0;0.0;74.0;0.0
2813250441.0;610000.0;1.0;48.92047396268772;2.2794189106417173;1.0;97.0;85.0;5.0;3.0;1.0;1.0;8.0;6.0;2.0;0.0;1800.0;1.0;1.0;0.0;1.0;0.0;0.0
2939201321.0;710000.0;14.0;48.8410468645364;2.18625290101273;1.0;80.0;145.0;4.0;2.0;1.0;0.0;9.0;9.0;2.0;0.0;1854.0;1.0;0.0;0.0;1.0;0.0;0.0
2841211146.0;1550000.0;11.0;48.924039858256464;2.252261327115725;1.0;232.0;802.0;8.0;6.0;1.0;1.0;10.0;10.0;2.0;3.0;6360.0;1.0;0.0;0.0;1.0;50.0;0.0
2837696460.0;1195740.0;7.0;48.771691574919;2.27062796824518;1.0;220.0;560.0;7.0;4.0;2.0;1.0;8.0;8.0;3.0;1.0;2933.874478182769;1.0;0.0;0.0;1.0;28.0;0.0
2956909235.0;845000.0;11.0;48.91855631043149;2.2481213680746026;1.0;110.0;116.0;6.0;4.0;1.0;2.0;8.0;6.0;2.0;1.0;1900.0;1.0;1.0;0.0;1.0;0.0;0.0
2952564022.0;1200000.0;20.0;48.81453347579776;2.293955727022124;1.0;242.0;386.0;7.0;5.0;2.0;1.0;8.0;8.0;2.0;2.0;3080.0;1.0;1.0;1.0;1.0;60.0;25.0
2859985848.0;849000.0;7.0;48.7644992549208;2.273183532016338;1.0;190.0;556.0;9.0;7.0;2.0;2.0;10.0;10.0;2.0;1.0;7425.0;1.0;1.0;1.0;1.0;280.0;0.0
2645478344.0;341000.0;31.0;48.82903151015535;2.2012554813532668;1.0;85.0;170.0;4.0;2.0;1.0;1.0;10.0;10.0;3.0;0.0;1846.205941741745;1.0;0.0;0.0;1.0;85.0;0.0
2950827389.0;950000.0;17.0;48.90453145778097;2.247950899226621;1.0;124.0;162.0;5.0;3.0;2.0;2.0;10.0;8.0;2.0;1.0;4525.0;0.0;0.0;0.0;0.0;0.0;20.0
2948172810.0;600000.0;1.0;48.93039132107144;2.278798623880592;1.0;120.0;0.0;7.0;4.0;1.0;1.0;8.0;6.0;2.0;2.0;1825.0;1.0;0.0;0.0;1.0;0.0;33.0
2946275202.0;1095000.0;11.0;48.9236312094256;2.2513431169505576;1.0;166.0;275.0;7.0;4.0;1.0;1.0;8.0;7.0;3.0;2.0;2365.5;1.0;1.0;0.0;1.0;0.0;0.0
2944599417.0;1275000.0;24.0;48.89573841438165;2.198781505412447;1.0;231.0;406.0;8.0;6.0;1.0;2.0;7.0;7.0;3.0;1.0;2004.0;1.0;1.0;1.0;1.0;0.0;0.0
2940361047.0;900000.0;11.0;48.91556547548391;2.244343449953884;1.0;145.0;200.0;5.0;4.0;3.0;1.0;8.0;8.0;1.0;1.0;2250.0;1.0;1.0;0.0;0.0;145.0;0.0
2931611760.0;695000.0;9.0;48.78981718246327;2.2459273983453416;1.0;160.0;170.0;7.0;5.0;1.0;2.0;8.0;8.0;3.0;2.0;2240.0;1.0;0.0;0.0;0.0;0.0;0.0
